CUSTOMER,FULLNAME,TAXPAYER
105893,ჯო ენის საუნივერსიტეტო ჰოსპიტალი აიპ,999999024
105952,"შპს ""ტრავმატოლოგი""",999999083
105901,"შ.პ.ს ""უნო +""",999999032
106185,შპს ენ ჯი ემ ინოვეიშენ დენთალი,999999316
106180,"შპს ""გერმანული კლინიკა""",999999311
106021,"შპს ""გიდმედი""",999999152
105921,"ს/ს ""ალ.წულუკიძის სახ. უროლოგიის ეროვნული ცენტრი""",999999052
106117,"შპს ""კლინიკური ონკოლოგიის ინსტიტუტი""",999999248
106040,"შპს უნიმედი კახეთი ""ქ.ბათუმის დედათა და ბავშვთა ჯანმრთელობის ცენტრი""",999999171
106147,"ქ.ზუგდიდი,შპს სტომატოლოგიური პოლიკლინიკა",999999278
106154,"შპს აკ.ვ.ივერიელის სახ.ენდოკრინოლოგია-დიეტოლოგია-მეტაბოლოოგიის ცენტრი""ენმედიცი""",999999285
106161,შპს „დენტ ოფისი ქეი“,999999292
106047,"შ.პ.ს ""რეგიონული ჯანდაცვის ცენტრი""",999999178
106042,"სს ""ჰემატოლოგიის და ტრანსფუზიოლოგიის ს/კ ინსტიტუტი""",999999173
106123,შპს იბერია სერვისი,999999254
106054,"სპს ""მერაბ ნადირაშვილი და კომპანია""",999999185
106050,"შ.პ.ს. "" L დენტი""",999999181
105998,"შპს ""მედიქალ პარკი საქართველო""",999999129
105905,"შ.პ.ს ""უროლოგიის ეროვნული ცენტრი""",999999036
106228,მედისონ ჰოლდინგი (ვაჟა-ფშაველა) შპს,999999359
106061,"შპს ""უნიმედი კახეთი""",999999192
106230,"შპს ""ნეოსმაილი""",999999361
105940,"შ.პ.ს.""სამედიცინო სამსახური 009""",999999071
106000,"შპს ""თბილისის ცენტრალური საავადმყოფო""",999999131
105884,"შ.პ.ს.""მედი""",999999015
105931,ქ.ქუთაისის №3 ბავშვთა პოლიკლინიკა შპს,999999062
105971,დენსი +,999999102
105917,"შ.პ.ს ""ჯეოსვის დიაგნოსტიკა""",999999048
105900,"შ.პ.ს.""კლინიკა ნიუმედი""",999999031
105914,"შ.პ.ს""საქართველოს საპატრიარქოს წმინდა იოაკიმე და ანას სახ. მრავალპროფილური საავადმყოფო და ანას სახელობის სამშობიარო სახლი"" შპს",999999045
106251,"შპს ""დავიდენტი""",999999382
106249,"სს""სამედიცინო კორპორაცია ევექსი""- ზუგდიდის  პოლიკლინიკა",999999380
105926,"შ.პ.ს.""კარდიოექსპრესი""",999999057
106135,შპს ლაქშერი ქარს,999999266
106028,"შპს""ტესტი დიაგნოსტიკა""",999999159
106194,"შპს ""ლანცეტი""",999999325
106025,დენტალ სერვისი,999999156
105925,ინდ მეწარმე ინგა ფიდლერი თბილისის სახ. უნივერსიტეტის კლინიკურ საავადმყოფოსთან არსებული სპირალური კომპიუტერული ტომოგრაფია,999999056
106174,შპს საქართველოს კოლოპროქტოლოგიის ცენტრი,999999305
106176,"შპს. ""გიდმედი პლუსი""",999999307
105974,"შპს "" სხივი 2012""",999999105
105976,"შპს ""სტომა დენტი""",999999107
105874,"შ.პ.ს. ""ქ.თბილისის #2 სამშობიარო სახლი""",999999005
106225,"შპს ""დიაგნოსტიკური სერვისი""",999999356
106531,სარეჟიმო შპს,111111112
106534,"შპს ""ლაზიკა მედი""",123456655
109950,წმინდა ნიკოლოზის სახელობის ქირურგიული და ონკოლოგიური ცენტრი სააქციო საზოგადოება ,212691336
115247,სხივური მედიცინის ცენტრი შპს,1E+11
18236,შპს ავერსი ფარმა,211386695
17904,თბილისი სითი მედიქალ შპს,405032806
132573,შპს “Krol Medical Corporation”(30 პოლიკლინიკა),404941532
133056,"შპს ""ახალი კლინიკა""",404980231
133112,შპს „მედიკომი“,404963679
134648,"შპს ""ნიუ ვიჟენ საუნივერსიტეტო ჰოსპიტალი-მცხეთა""",401993508
135624,"შპს იმერეთის სამხარეო სამედიცინო ცენტრი ""თერჯოლა მედი""",431948066
135670,მარდალეიშვილი კლინიკა სს,11111112
51290,შპს დენტალ კლასი,415087603
135894,"შპს ""უნიმედი სამცხე""-ახალციხის სამედიცინო ცენტრი",404865963
131881,მედისონ ჰოლდინგი (მუხიანი) შპს,404923632
136974,მედისონ ჰოლდინგი (ვარკეთილი) შპს,999999960
138479,"შპს ""ბოლნისის ცენტრალური კლინიკა""",225368330
138505,"შპს ""ტვინის ჯანმრთელობის ცენტრი-საქართველო""",405157743
138813,"სს ""ნეო მედი""",404860566
139399,"შპს ""თბილისის ზღვის ჰოსპიტალი""",400115362
139516,"შპს ""ჰერა""",404404042
139631,"შპს ""ისრაელი საქართველოს სამედიცინო კვლევითი კლინიკა ჰელსიკორი""",205250618
144231,"შპს ""ინოვა""",405049335
105883,"სს.""კ ერისთავის სახელობის ექსპერიმენტალური ქირურგიის ეროვნული ცენტრი""",999999014
148271,"შპს ""ალიანს მედი""",405108477
148472,"შპს ""მალხაზ კაციაშვილის მრავალპროფილური გადაუდებელი დახმარების ცენტრი""",400123647
148473,"შპს სტომატოლოგიური ცენტრი ""დენტისტრი""",405189987
148611,"შპს ""ვივამედი""",40487966
148724,"შპს ""არქიმედეს კლინიკა"" - ლაგოდეხი",112233445
149735,"აიპ ""ნიუ ვიჟენ საუნივერსიტეტო ჰოსპიტალი""",402069854
86051,შპს ბესთ მედიკალ გრუპ,405196176
165390,"შპს ""მაღალტექნოლოგიური ჰოსპიტალი მედცენტრი""",445466870
39801,სსიპ ილიას სახელმწიფო უნივერსიტეტი ,204861970
167596,"შპს ""ჯანმრთელობის სახლი გურიაში""",242005977
171544,შპს ქუთაისის #3 სამშობიარო სახლი სხვა,412682066
172306,მედალფა ჩოხატაურის სამედიცინო ცენტრი შპს,199999226
172226,"შპს ""მედ ემერჯენსი""",445506630
184602,"შპს თვალის მიკროქირურგიის ჯავრიშვილის კლინიკა ""ოფთალმიჯი""",211357663
186657,ბოხუას სახელობის კარდიოვასკულარული ცენტრი შპს,401945605
193520,ინდიგო შპს,245624169
193522,ზაუტაშვილი მანანა შპს,590010195
106232,"სს""გეფა""",999999363
203736,ნიუ დენტი თელავი შპს,431168283
205312,"შპს""კლინიკა ფემილი""",405261363
206430,"შპს ""ფეის დენტი""",405271735
216127,"შპს ""პირველი სამედიცინო ცენტრი""",20000714
244546,"სს ""სამედიცინო კორპორაცია ევექსი"" ონკოლოგიის ცენტრი",40447620/
245933,"შპს ""ვი.აი.პი. სტომატოლოგია"" Dento club",204954969
265658,სს იავნანა ,21787925/
274895,შპს რეგიონული ჰოსპიტალი,40492574
277022,სს სამედიცინო კორპორაცია ევექსი-ბათუმის რეფერალური ჰოსპიტალი,0.40492574
277610,სს სამედიცინო კორპორაცია ევექსი - ფოთის ჰოსპიტალი,/04476205
277654,"სტომატოლოგიური კლინიკა ""ქრაუნდენტალი"" შპს",402073885
280274,სს სამედიცინო კორპორაცია ევექსი - ახმეტის ჰოსპიტალი,40447620
280633,შპს ჰოსპიტალ სერვისი,400027163
282155,სს სამედიცინო კორპორაცია ევექსი მარტვილის ჰოსპიტალი,4044762..
282333,სს სამედიცინო კორპორაცია ევექსი თელავის რეფერალური ჰოსპიტალი,"4044762,,"
282335,სს სამედიცინო კორპორაცია ევექსი ახალციხის რეფერალური ჰოსპიტალი,0.04476205
282336,სს სამედიცინო კორპორაცია ევექსი ყვარელის ჰოსპიტალი,",04476205"
285770,სს სამედიცინო კორპორაცია ევექსი ქედის ჰოსპიტალი,",,4476205"
286784,სს სამედიცინო კორპორაცია ევექსი მ.იაშვილის სახელობის ბათუმის დედათა ბავშვთა ცენტრალური ჰოსპიტალი,..4476205
287072,შპს ბი აი სი ჯორჯია ნეოდენტი ბათუმი,445530159
287302,შპს ლჯ და კომპანია დასავლეთ საქართველოს ტუბერკულოზისა და ინფექციურ პათოლოგიათა ცენტრი,212691354
